yearID,teamID,name,W,payroll,Batting_WAR,Pitching_WAR,Total_WAR,Dollars_per_Win,Dollars_per_WAR,WAR_per_Million,Wins_per_100M
2004,KCA,Kansas City Royals,58,47609000,5.295,7.840000001,13.135000001,820844.8275862068,3624590.7876951206,0.27589321348904616,121.82570522380222
2004,LAN,Los Angeles Dodgers,93,92902001,28.035,15.776666664999999,43.811666665000004,998946.247311828,2120485.4339453145,0.47159012931271527,100.10548642542156
2004,MIL,Milwaukee Brewers,67,27528500,8.125155281,15.901490684,24.026645964,410873.1343283582,1145748.7674828586,0.872791687305883,243.38412917521842
2004,MIN,Minnesota Twins,92,53585000,17.580000000000002,25.803333335,43.383333335,582445.6521739131,1235151.7479356453,0.8096171192497901,171.68983857422785
2004,MON,Montreal Expos,67,40897500,6.659999999999999,10.856666665,17.516666665,610410.4477611941,2334776.4036474572,0.4283065386637325,163.8241946329238
2004,NYA,New York Yankees,101,184193950,23.775,17.449999999,41.224999999,1823702.4752475247,4468015.767239977,0.2238129971098399,54.8335056607451
2004,NYN,New York Mets,71,96660970,9.67,15.003333332,24.673333332,1361422.1126760563,3917629.154494333,0.255256421821548,73.45260450003761
2004,OAK,Oakland Athletics,91,59425667,21.43,20.476666667,41.906666666999996,653029.3076923077,1418048.051213665,0.7051947211126801,153.1324839820477
2004,PHI,Philadelphia Phillies,86,92919167,25.535,12.5,38.035,1080455.4302325582,2442991.11344814,0.4093342765330644,92.55356324922714
2004,PIT,Pittsburgh Pirates,72,32227929,8.346521738,14.771180124,23.117701864,447610.125,1394080.1377920217,0.7173188777969568,223.4087086390193
2004,SDN,San Diego Padres,87,55384833,26.169999999999998,14.336666668,40.506666668,636607.275862069,1367301.6704619057,0.7313674967296552,157.0827161291612
2004,SEA,Seattle Mariners,63,81515834,17.51,9.790000001,27.300000001,1293902.126984127,2985927.9852386108,0.3349042592264958,77.28559828020651
2004,SFN,San Francisco Giants,91,82019166,23.585,13.893333333,37.478333333,901309.5164835164,2188442.193286685,0.4569460427456675,110.94967729859628
2004,SLN,St. Louis Cardinals,105,83228333,32.505,18.323333334,50.828333334,792650.7904761905,1637439.7415924524,0.6107094964163226,126.15896079523785
2004,TBA,Tampa Bay Devil Rays,70,29556667,16.335838509,7.305093167,23.640931674,422238.1,1250232.749181626,0.7998510682547528,236.83319908838166
2004,TEX,Texas Rangers,89,55050417,16.744999999999997,19.489999999,36.234999999,618544.011235955,1519260.85280859,0.6582148142311075,161.66998335362294
2004,TOR,Toronto Blue Jays,67,50017000,14.670559006,11.95378882,26.624347825,746522.3880597015,1878618.7864115315,0.5323059724693604,133.95445548513504
2005,ARI,Arizona Diamondbacks,77,62329166,13.915,7.219999998,21.134999998,809469.6883116884,2949097.0430990392,0.33908684095019015,123.53767095166971
2005,ATL,Atlanta Braves,90,86457302,28.655,15.149999999,43.804999999,960636.6888888889,1973685.6980247388,0.5066662848095815,104.09762728890152
2005,BAL,Baltimore Orioles,74,73914333,21.24,9.629999999999999,30.87,998842.3378378379,2394374.2468415936,0.41764565473383897,100.11590038971197
2005,BOS,Boston Red Sox,95,123505125,29.075,14.346666667000001,43.421666667000004,1300053.9473684211,2844320.23181327,0.3515778528785749,76.9198849035617
2005,CHA,Chicago White Sox,99,75178000,19.09,26.73333333,45.82333333,759373.7373737374,1640605.223077079,0.6095311571204342,131.68746175742905
2005,CHN,Chicago Cubs,79,87032933,19.665,16.899999998,36.564999998,1101682.6962025317,2380225.160802966,0.4201283208277032,90.77023751457394
2005,CIN,Cincinnati Reds,73,61892583,22.163190183,2.6039263810000004,24.767116564000002,847843.6027397261,2498982.182284528,0.4001629171624652,117.94628122080476
2005,CLE,Cleveland Indians,93,41502500,33.605000000000004,20.186666667,53.791666667,446263.44086021505,771541.4407388285,1.2961066602493827,224.08288657309802
2005,COL,Colorado Rockies,67,47839000,10.825,8.580000001,19.405000001,714014.9253731343,2465292.450272337,0.40563138863688625,140.05309475532516
2005,DET,Detroit Tigers,71,69092000,22.19,8.19,30.38,973126.7605633803,2274259.3811718235,0.4397035836276269,102.76153534417878
2005,FLO,Florida Marlins,83,60408834,16.675,16.676666669,33.351666669,727817.2771084338,1811268.8220210997,0.5520991626655134,137.39712307640303
2005,HOU,Houston Astros,89,76779000,17.924355829,24.485521473,42.409877302,862685.3932584269,1810403.7286705188,0.5523629807890178,115.91711275218485
2005,KCA,Kansas City Royals,56,36881000,2.6449999999999996,2.903333332,5.548333332,658589.2857142857,6647221.389401555,0.15043879862259701,151.83970065887584
2005,LAA,Los Angeles Angels of Anaheim,95,94867822,21.6,23.449999998,45.049999998,998608.652631579,2105834.0067527564,0.4748712371408716,100.13932859131097
2005,LAN,Los Angeles Dodgers,71,83039000,13.295,7.970000001,21.265000001,1169563.38028169,3904961.203672468,0.25608449043220655,85.50199303941523
2005,MIL,Milwaukee Brewers,81,39934833,17.900000000000002,17.303333332,35.203333332,493022.6296296296,1134404.8764751218,0.8815194828033963,202.83044629233834
2005,MIN,Minnesota Twins,83,56186000,13.135,22.733333335,35.868333335,676939.7590361446,1566451.3730046721,0.6383856002384937,147.72363222154985
2005,NYA,New York Yankees,95,208306817,21.975,16.153333335,38.128333335,2192703.3368421053,5463307.697448822,0.1830392969568538,45.60580463384451
2005,NYN,New York Mets,83,101305821,17.93,20.513333333,38.443333333,1220552.060240964,2635198.673394912,0.3794780295300109,81.93013903909825
2005,OAK,Oakland Athletics,88,55425762,23.845,21.063333334,44.908333334,629838.2045454546,1234197.7064207208,0.8102429576701173,158.77093399275233
2005,PHI,Philadelphia Phillies,88,95522000,29.580000000000002,12.746666667,42.326666667,1085477.2727272727,2256780.595351577,0.4431090918008416,92.12537425933293
2005,PIT,Pittsburgh Pirates,67,38133000,14.805,7.409999999999999,22.215,569149.2537313433,1716542.8764348414,0.5825662811737864,175.700836545774
2005,SDN,San Diego Padres,82,63290833,18.315,12.313333332,30.628333332,771839.4268292683,2066414.5291208103,0.4839300081893376,129.56062689204927
2005,SEA,Seattle Mariners,69,87754334,14.504999999999999,10.7,25.205,1271801.9420289856,3481624.0428486415,0.2872222812379842,78.62859514152315
2005,SFN,San Francisco Giants,75,90199500,9.39,12.826666665,22.216666665,1202660.0,4059992.4984291065,0.24630587381304775,83.14901967305805
2005,SLN,St. Louis Cardinals,100,92106833,28.34,18.806666664,47.146666664,921068.33,1953623.437610499,0.5118693709075851,108.56957811153924
2005,TBA,Tampa Bay Devil Rays,67,29679067,21.509999999999998,-0.660000001,20.849999998999998,442971.14925373136,1423456.4509075999,0.7025153452094703,225.7483363611127
2005,TEX,Texas Rangers,79,55849000,21.33,11.166666667,32.496666667,706949.3670886076,1718607.036601512,0.5818665807266021,141.4528460670737
2005,TOR,Toronto Blue Jays,80,45719500,21.445,17.550000001,38.995000001,571493.75,1172445.1852500977,0.8529183390238302,174.98004133903476
2005,WAS,Washington Nationals,81,48581500,13.565,17.830000002,31.395000002,599771.6049382716,1547427.9342858782,0.6462336486522647,166.7301338987063
2006,ARI,Arizona Diamondbacks,76,59684226,12.0,17.903333335,29.903333335,785318.7631578947,1995905.4507860937,0.5010257372693414,127.3368276569424
2006,ATL,Atlanta Braves,79,90156876,22.654999999999998,10.900000003,33.555000003,1141226.2784810127,2686838.8017267017,0.3721845908125743,87.62504148879339
2006,BAL,Baltimore Orioles,70,72585582,18.8,5.350000002,24.150000002000002,1036936.8857142857,3005614.1612417707,0.3327107028224972,96.43788486809956
